i,d,w
815924,801292,6
809219,801137,4
812288,804301,5
812288,802315,3
812288,802120,11
812288,801350,24
812288,801137,12
911832,801310,25
911832,801137,15
18572,800899,18
816177,801292,16
812570,804301,4
812570,801350,3
812570,801137,12
809669,802120,37
809649,801350,3
809649,801137,8
801404,802120,46
810742,801350,3
811896,804301,20
811896,802028,14
811896,801350,78
811896,801137,3
810579,801815,30
810579,800899,14
910339,801949,6
812085,804301,21
812085,802028,3
812085,801350,17
812085,801137,4
811495,801815,8
811495,801350,34
807745,801292,3
807745,801137,17
802704,801350,15
153337,801292,6
11872,802120,35
808487,804301,8
808487,802028,51
808487,801350,72
808487,801310,4
801272,802028,7
1050366152,802120,21
1050366152,801292,9
817627,801185,8
20753,802120,11
817011,802315,4
810005,802315,23
810005,801949,44
810005,801185,41
814060,801292,4
814060,801137,3
811263,801292,33
810381,804301,17
810381,801350,30
810381,801310,11
810381,801137,5
125557,801292,3
821186,801350,56
809221,801350,35
809221,801310,3
809221,801137,15
809221,804301,3
912164,802315,3
904813,804301,11
904813,801310,50
904813,801137,42
811393,802120,4
810417,804301,3
810417,802315,16
810417,802028,3
810417,801310,21
810417,801137,93
809918,802028,11
809918,801815,11
809918,800899,59
805372,802315,10
805372,801310,40
805372,801137,15
21712,801292,7
258513,801137,25
815160,804301,10
804747,801292,96
802253,801292,14
934793,801292,19
822417,801310,46
822417,801137,10
811026,801310,82
811026,801137,35
812201,801310,61
812201,801137,29
801102,801292,9
801982,801350,3
83621,801949,3
83621,800899,5
814114,801815,6
814114,801350,30
817589,801137,3
812604,801815,44
812604,800899,7
514021,801350,8
808931,801310,8
808931,801137,40
808746,804301,3
808746,802315,13
808746,801310,26
808746,801137,71
804054,802315,146
804054,802028,4
804054,801949,16
804054,801137,103
910612,802315,25
910612,801310,29
910612,801137,80
813744,802315,4
813744,801350,5
813744,801310,4
813744,801137,75
911703,802028,3
911703,801350,5
911703,801137,35
911703,800899,3
811004,801350,4
811004,801137,5
940398,802120,23
816009,801137,92
806242,801350,5
806242,801137,6
811323,801185,3
800564,801949,16
800564,801137,90
815007,801292,16
911091,801137,63
817836,804301,46
817836,801350,21
518123,801949,10
518123,801185,4
935793,801350,62
808507,801292,25
818452,801292,11
902294,801815,7
902294,801350,73
902294,800899,13
815118,801815,58
814169,802120,3
814169,801350,5
814169,801137,7
801922,801292,13
800822,801815,4
13743,801292,29
13507,801292,29
814852,804301,70
814852,801350,48
814852,801310,4
812938,801815,10
812938,801350,18
809846,801292,16
810074,801350,3
810074,801292,17
801640,801815,308
22210,804301,4
22210,802120,75
812071,802315,4
810511,801815,3
