bodyId,type,side,post,nt,group
19449,AN08B079,L,1261,acetylcholine,13312
174427,IN27X014,L,5394,gaba,11917
159246,IN06A083,L,443,gaba,24729
153224,IN19B083,R,693,acetylcholine,19433
36986,AN19B076,L,727,acetylcholine,18637
22469,IN03B076,L,1039,gaba,22469
18544,IN19B066,L,986,acetylcholine,18435
14410,IN19B045,L,2005,acetylcholine,14250
12889,IN07B026,L,3798,acetylcholine,12889
12845,IN14B007,L,4469,gaba,12845
24664,IN03B061,L,1229,gaba,21830
21627,IN06A075,L,499,gaba,17508
18283,IN03B066,L,1840,glutamate,19226
33512,IN11A037,L,1102,glutamate,27665
12130,IN06B013,R,5405,gaba,12092
26504,IN06A096,L,1562,glutamate,21690
19615,IN03B058,L,1243,gaba,11504
18719,IN19B052,L,1213,acetylcholine,18477
17631,AN07B049,R,951,acetylcholine,19590
13616,IN17B015,L,2628,gaba,13573
23007,IN06A100,L,542,gaba,22489
20253,DNg94,L,163,acetylcholine,20253
14016,INXXX146,L,1269,gaba,14016
16512,AN06B051,R,2388,gaba,16067
154861,IN03B066,L,888,gaba,24856
27273,IN03B066,L,1819,glutamate,19226
16602,IN08B068,L,2209,acetylcholine,16269
157281,IN03B066,L,677,gaba,24241
27429,IN03B066,L,735,gaba,24241
21208,IN06A075,L,614,gaba,17508
21064,IN06A075,R,561,gaba,17508
17508,IN06A075,L,520,gaba,17508
16770,IN03B072,L,1181,glutamate,16770
157652,IN06A082,R,574,gaba,18762
23128,IN07B083,L,572,acetylcholine,21172
22043,IN06A076,L,668,gaba,21821
20375,IN07B064,L,698,acetylcholine,20375
31867,IN07B094,L,405,acetylcholine,29419
29570,IN03B070,L,1292,gaba,14971
18816,IN19B053,R,745,acetylcholine,17170
156179,IN06A082,R,536,gaba,16319
15771,IN07B039,L,1813,acetylcholine,15771
28826,IN11B023,L,738,gaba,24178
24287,IN11B016,L,609,gaba,22869
22445,IN19B087,L,623,acetylcholine,16239
20490,IN03B063,L,1087,gaba,19780
18361,IN03B080,L,1075,gaba,18361
12262,IN19A142,L,3603,gaba,12262
18262,IN19B071,L,803,acetylcholine,15970
156765,IN03B080,L,931,gaba,17814
16662,IN03B081,L,902,glutamate,16662
21409,AN07B072,L,454,acetylcholine,21409
21092,IN06A082,R,541,gaba,16319
22895,IN19B072,R,669,acetylcholine,15471
157389,IN06A137,L,308,glutamate,28585
16105,IN19B045,R,1628,acetylcholine,14250
18925,IN06A045,L,2033,gaba,18200
159066,IN11B016,L,605,gaba,159066
22869,IN11B016,L,837,gaba,22869
21217,IN07B051,L,1146,acetylcholine,20370
27003,IN11B019,L,893,gaba,23767
17656,IN19B055,L,1108,acetylcholine,17421
16115,AN06A030,L,1651,glutamate,16115
14629,AN19B039,R,1916,acetylcholine,14629
25235,AN07B085,L,348,acetylcholine,25235
21126,IN19B071,L,630,acetylcholine,15970
25151,IN19B096,L,925,acetylcholine,25151
35927,IN06A136,L,241,gaba,32336
11802,IN17A023,L,7152,acetylcholine,11802
17976,IN19B072,R,736,acetylcholine,15471
10625,IN12A003,L,6586,acetylcholine,10554
19025,ANXXX200,L,540,gaba,18887
18672,IN03B061,L,1615,gaba,21830
164180,IN06A129,L,526,gaba,26583
25588,AN19B098,R,845,acetylcholine,25588
18484,IN19B062,R,872,acetylcholine,18484
11611,IN12A009,L,4623,acetylcholine,11460
21385,IN03B058,L,1113,gaba,11504
12910,AN06B089,R,5246,glutamate,12910
15605,IN08B051,L,2624,acetylcholine,13844
155613,IN06A108,L,676,gaba,23860
24505,IN06A118,R,355,gaba,24505
14776,IN17A063,L,2257,acetylcholine,13666
18908,IN06B077,R,1503,gaba,15536
