bodyId,type,side,post,nt,group
12954,IN06A020,R,4160,gaba,12954
10668,w-cHIN,R,4359,gaba,10510
10632,IN17B004,R,6462,gaba,10601
10468,w-cHIN,R,6095,glutamate,10667
100988,IN07B081,R,1314,acetylcholine,23434
24602,IN07B081,R,1421,acetylcholine,22666
14740,IN06A016,R,1638,gaba,14740
13206,IN06A013,R,2622,gaba,12906
30748,IN11B021,R,661,gaba,29350
24151,IN11B022,R,1395,glutamate,24151
23894,IN03B072,R,1279,glutamate,23894
18931,IN03B063,R,942,gaba,18931
18617,IN03B072,R,1204,glutamate,23894
15979,AN19B065,R,1075,acetylcholine,15901
14308,IN06A022,R,487,glutamate,12112
13682,IN06A022,R,500,glutamate,12112
10764,IN19A026,R,4956,gaba,10764
26374,IN16B099,R,275,glutamate,22578
25897,IN11A028,R,2037,glutamate,13738
25012,IN16B099,R,389,glutamate,23548
20131,IN16B066,R,1017,glutamate,19653
12785,INXXX119,L,3302,gaba,12785
158944,IN03B068,R,1037,gaba,156198
153199,IN07B083,R,655,acetylcholine,23825
25051,IN07B079,R,569,acetylcholine,25051
22947,IN07B079,R,663,acetylcholine,17497
22388,IN07B079,R,694,acetylcholine,22388
15092,IN01A020,R,4436,acetylcholine,11998
14729,IN07B079,R,605,acetylcholine,14729
14132,IN16B087,R,1178,glutamate,14132
26091,IN16B099,R,279,glutamate,22578
24856,IN03B066,R,622,gaba,24856
14936,IN17A057,R,2013,acetylcholine,14936
21929,IN12A058,R,1117,acetylcholine,17191
11111,IN13B008,L,4581,gaba,11111
163217,IN07B094,R,542,acetylcholine,25585
23561,IN11A034,R,668,acetylcholine,23561
22578,IN16B099,R,309,glutamate,22578
17516,IN16B048,R,925,glutamate,17069
159728,IN12A063,L,332,acetylcholine,152294
157443,IN12A035,R,1401,glutamate,14639
17392,IN06A022,R,545,glutamate,14254
164042,IN07B099,R,871,acetylcholine,28331
159206,IN16B104,R,629,glutamate,155337
157193,IN03B060,R,1131,gaba,16455
45116,IN07B099,R,777,acetylcholine,28331
28393,IN07B099,R,687,acetylcholine,28331
22328,IN03B060,R,980,gaba,19368
20426,IN03B060,R,1206,gaba,19368
20133,IN03B060,R,1089,gaba,19368
19368,IN03B060,R,1150,gaba,19368
19116,IN03B060,R,1283,gaba,16455
19033,IN03B060,R,1187,gaba,16455
18385,IN03B060,R,1288,gaba,15900
17704,IN03B060,R,1478,gaba,17704
17607,IN03B060,R,1244,gaba,16455
164112,IN07B098,R,664,acetylcholine,24221
102707,IN03B059,R,1342,gaba,22766
102624,IN07B098,R,289,acetylcholine,30841
30232,IN06A137,R,504,gaba,28585
13986,IN06A022,R,513,glutamate,12112
13538,IN06A022,R,600,glutamate,12112
26414,IN07B086,R,870,acetylcholine,23691
17127,IN06A040,R,937,gaba,16919
10294,AN07B003,R,8679,acetylcholine,10294
29431,IN11B021,R,676,gaba,29350
29350,IN11B021,R,842,gaba,29350
27575,IN11B021,R,839,gaba,27575
26358,IN11A036,R,361,acetylcholine,26358
23767,IN11B019,R,977,gaba,23767
26842,IN07B083,R,614,acetylcholine,23825
23027,IN03B070,R,1336,gaba,14971
16139,IN06A033,R,1068,gaba,16168
15656,IN07B087,R,567,acetylcholine,15656
154886,IN07B087,R,618,acetylcholine,15656
152682,IN07B098,R,472,acetylcholine,26140
29564,IN07B098,R,546,acetylcholine,22129
27950,IN02A049,R,1008,glutamate,27950
26781,IN07B098,R,553,acetylcholine,26781
21131,IN03B060,R,1241,gaba,19368
20170,INXXX133,R,3291,acetylcholine,14403
13756,IN06A032,R,1177,glutamate,13756
13339,IN06A011,R,525,glutamate,12858
22618,IN16B093,R,1185,glutamate,22618
157517,IN11B021,R,905,gaba,27575
36128,IN07B086,R,704,acetylcholine,24425
28684,IN06A116,R,665,gaba,28684
25585,IN07B087,R,500,acetylcholine,15656
24895,IN11B019,R,729,gaba,24895
16694,IN17A060,R,1644,glutamate,13607
15411,IN17A056,R,1914,acetylcholine,14445
13146,IN07B026,R,3295,acetylcholine,12889
12935,IN14B007,R,4767,gaba,12845
